,precision,recall,f1-score,support
Cardio,0.1038961038961039,0.32,0.1568627450980392,25.0
HIIT,0.06060606060606061,0.16,0.08791208791208792,25.0
Strength,0.5584415584415584,0.2654320987654321,0.3598326359832636,162.0
Yoga,0.2222222222222222,0.2,0.21052631578947367,80.0
accuracy,0.24315068493150685,0.24315068493150685,0.24315068493150685,0.24315068493150685
macro avg,0.23629148629148627,0.23635802469135803,0.2037834461957161,292.0
weighted avg,0.3847872067050149,0.24315068493150685,0.2782683668414376,292.0
