,precision,recall,f1-score,support
Cardio,0.36363636363636365,0.2545454545454545,0.2994652406417112,110.0
HIIT,0.18181818181818182,0.18461538461538463,0.183206106870229,65.0
Strength,0.2077922077922078,0.25,0.22695035460992907,64.0
Yoga,0.125,0.16981132075471697,0.144,53.0
accuracy,0.2226027397260274,0.2226027397260274,0.2226027397260274,0.2226027397260274
macro avg,0.21956168831168832,0.21474303997888902,0.21340542553046732,292.0
weighted avg,0.24569138053727094,0.2226027397260274,0.22947395928831707,292.0
