,precision,recall,f1-score,support
Cardio,0.5714285714285714,0.2894736842105263,0.38427947598253276,152.0
HIIT,0.030303030303030304,0.18181818181818182,0.05194805194805195,11.0
Strength,0.33766233766233766,0.3023255813953488,0.31901840490797545,86.0
Yoga,0.125,0.20930232558139536,0.1565217391304348,43.0
accuracy,0.2773972602739726,0.2773972602739726,0.2773972602739726,0.2773972602739726
macro avg,0.26609848484848486,0.24572994325136308,0.22794191799224872,292.0
weighted avg,0.41645355215560687,0.2773972602739726,0.31899974837489087,292.0
