,precision,recall,f1-score,support
Cardio,0.33766233766233766,0.26262626262626265,0.29545454545454547,99.0
HIIT,0.09090909090909091,0.15,0.11320754716981132,40.0
Strength,0.3246753246753247,0.21551724137931033,0.25906735751295334,116.0
Yoga,0.05555555555555555,0.10810810810810811,0.07339449541284404,37.0
accuracy,0.2089041095890411,0.2089041095890411,0.2089041095890411,0.2089041095890411
macro avg,0.20220057720057721,0.18406290302842027,0.18528098638753854,292.0
weighted avg,0.2629548913795489,0.2089041095890411,0.2278962729060626,292.0
