,precision,recall,f1-score,support
Cardio,0.25,0.25,0.25,12.0
HIIT,0.5,0.15,0.23076923076923078,20.0
Strength,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0
Yoga,0.0,0.0,0.0,0.0
accuracy,0.20512820512820512,0.20512820512820512,0.20512820512820512,0.20512820512820512
macro avg,0.2589285714285714,0.17142857142857143,0.1916208791208791,39.0
weighted avg,0.38461538461538464,0.20512820512820512,0.24654832347140043,39.0
