,precision,recall,f1-score,support
Cardio,0.35064935064935066,0.2727272727272727,0.3068181818181818,99.0
HIIT,0.12121212121212122,0.16666666666666666,0.14035087719298245,48.0
Strength,0.37662337662337664,0.23577235772357724,0.29,123.0
Yoga,0.027777777777777776,0.09090909090909091,0.0425531914893617,22.0
accuracy,0.22602739726027396,0.22602739726027396,0.22602739726027396,0.22602739726027396
macro avg,0.21906565656565657,0.19151884700665187,0.19493056262513148,292.0
weighted avg,0.29954881495977387,0.22602739726027396,0.25245894629462023,292.0
