,precision,recall,f1-score,support
Cardio,0.18181818181818182,0.2413793103448276,0.2074074074074074,58.0
HIIT,0.24242424242424243,0.18181818181818182,0.2077922077922078,88.0
Strength,0.2077922077922078,0.2318840579710145,0.2191780821917808,69.0
Yoga,0.20833333333333334,0.19480519480519481,0.20134228187919462,77.0
accuracy,0.2089041095890411,0.2089041095890411,0.2089041095890411,0.2089041095890411
macro avg,0.21009199134199136,0.21247168623480467,0.20892999481764768,292.0
weighted avg,0.21321272905177016,0.2089041095890411,0.20870543592902321,292.0
