,precision,recall,f1-score,support
Cardio,0.2727272727272727,0.22340425531914893,0.24561403508771928,94.0
HIIT,0.19696969696969696,0.2,0.1984732824427481,65.0
Strength,0.14285714285714285,0.19642857142857142,0.16541353383458646,56.0
Yoga,0.125,0.11688311688311688,0.12080536912751678,77.0
accuracy,0.18493150684931506,0.18493150684931506,0.18493150684931506,0.18493150684931506
macro avg,0.18438852813852813,0.18417898590770931,0.18257655512314266,292.0
weighted avg,0.19200134910751349,0.18493150684931506,0.18682758210472558,292.0
