,precision,recall,f1-score,support
2,0.7627118644067796,0.5487804878048781,0.6382978723404256,82.0
3,0.42727272727272725,0.46078431372549017,0.44339622641509435,102.0
4,0.5,0.4742268041237113,0.48677248677248675,97.0
5,0.1935483870967742,0.5454545454545454,0.2857142857142857,11.0
accuracy,0.4931506849315068,0.4931506849315068,0.4931506849315068,0.4931506849315068
macro avg,0.4708832446940703,0.5073115377771562,0.4635452178105731,292.0
weighted avg,0.5368261072645159,0.4931506849315068,0.5065980444727495,292.0
