,precision,recall,f1-score,support
2,0.4745762711864407,0.56,0.5137614678899083,50.0
3,0.6,0.48175182481751827,0.5344129554655871,137.0
4,0.532608695652174,0.532608695652174,0.532608695652174,92.0
5,0.3225806451612903,0.7692307692307693,0.45454545454545453,13.0
accuracy,0.523972602739726,0.523972602739726,0.523972602739726,0.523972602739726
macro avg,0.48244140299997623,0.5858978224251153,0.508832143388281,292.0
weighted avg,0.5449395957069137,0.523972602739726,0.5267525315149717,292.0
