,precision,recall,f1-score,support
2,0.25,0.1,0.14285714285714285,10.0
3,0.35,0.5833333333333334,0.4375,12.0
4,0.45454545454545453,0.5555555555555556,0.5,9.0
5,1.0,0.5,0.6666666666666666,8.0
accuracy,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359
macro avg,0.5136363636363637,0.43472222222222223,0.43675595238095233,39.0
weighted avg,0.48181818181818176,0.4358974358974359,0.4233821733821734,39.0
