,precision,recall,f1-score,support
2,0.6101694915254238,0.5217391304347826,0.5625,69.0
3,0.39090909090909093,0.45263157894736844,0.4195121951219512,95.0
4,0.5760869565217391,0.5353535353535354,0.5549738219895288,99.0
5,0.6129032258064516,0.6551724137931034,0.6333333333333333,29.0
accuracy,0.5171232876712328,0.5171232876712328,0.5171232876712328,0.5171232876712328
macro avg,0.5475171911906763,0.5412241646321974,0.5425798376112033,292.0
weighted avg,0.5275508931358123,0.5171232876712328,0.5204631286993677,292.0
