,precision,recall,f1-score,support
2,0.23728813559322035,0.56,0.3333333333333333,25.0
3,0.7636363636363637,0.4421052631578947,0.56,190.0
4,0.31521739130434784,0.4084507042253521,0.3558282208588957,71.0
5,0.12903225806451613,0.6666666666666666,0.21621621621621623,6.0
accuracy,0.4486301369863014,0.4486301369863014,0.4486301369863014,0.4486301369863014
macro avg,0.361293537149612,0.5193056585124783,0.3663444426021113,292.0
weighted avg,0.5964991123689568,0.4486301369863014,0.48388504901237067,292.0
