,precision,recall,f1-score,support
2,0.5932203389830508,0.5384615384615384,0.5645161290322581,65.0
3,0.39090909090909093,0.4673913043478261,0.42574257425742573,92.0
4,0.5869565217391305,0.5142857142857142,0.5482233502538071,105.0
5,0.5483870967741935,0.5666666666666667,0.5573770491803278,30.0
accuracy,0.5102739726027398,0.5102739726027398,0.5102739726027398,0.5102739726027398
macro avg,0.5298682621013664,0.5217013059404363,0.5239647756809547,292.0
weighted avg,0.5226198838471547,0.5102739726027398,0.5142007824343819,292.0
