,precision,recall,f1-score,support
2,0.576271186440678,0.5074626865671642,0.5396825396825397,67.0
3,0.43636363636363634,0.4444444444444444,0.44036697247706424,108.0
4,0.4782608695652174,0.5301204819277109,0.5028571428571429,83.0
5,0.6774193548387096,0.6176470588235294,0.6461538461538462,34.0
accuracy,0.5034246575342466,0.5034246575342466,0.5034246575342466,0.5034246575342466
macro avg,0.5420787618020603,0.5249186679407123,0.5322651252926482,292.0
weighted avg,0.5084429878672169,0.5034246575342466,0.5048792356596805,292.0
