,precision,recall,f1-score,support
2,0.4067796610169492,0.46153846153846156,0.43243243243243246,52.0
3,0.4636363636363636,0.4322033898305085,0.4473684210526316,118.0
4,0.5652173913043478,0.52,0.5416666666666666,100.0
5,0.45161290322580644,0.6363636363636364,0.5283018867924528,22.0
accuracy,0.4828767123287671,0.4828767123287671,0.4828767123287671,0.4828767123287671
macro avg,0.47181157979586674,0.5125263719331516,0.4874423517360459,292.0
weighted avg,0.48739334343621504,0.4828767123287671,0.4831002340643756,292.0
