,Métrica,Valor
0,Mean Absolute Error (MAE),46.96580588787996
1,Mean Squared Error (MSE),3527.0746074709223
2,Root Mean Squared Error (RMSE),59.38917921196522
3,R² Score,-0.020758792503388968
4,Explained Variance,-0.00878309349913109
