,Métrica,Valor
0,Mean Absolute Error (MAE),1.4620553201572548
1,Mean Squared Error (MSE),4.322097423097097
2,Root Mean Squared Error (RMSE),2.078965469433559
3,R² Score,-0.04181733833288037
4,Explained Variance,-0.033559420794392114
