,Métrica,Valor
0,Mean Absolute Error (MAE),18.548796519083968
1,Mean Squared Error (MSE),1907.242244328822
2,Root Mean Squared Error (RMSE),43.67198466212432
3,R² Score,0.2210770786552957
4,Explained Variance,0.2211958558102276
