,Métrica,Valor
0,Mean Absolute Error (MAE),25.841669072739393
1,Mean Squared Error (MSE),2410.888146052897
2,Root Mean Squared Error (RMSE),49.10079577820401
3,R² Score,-0.19986073073022625
4,Explained Variance,-0.17618569838239662
